AGG C14a PASS=18 FAIL=2 SKIP=0
AGG C14a PASS=20 FAIL=0 SKIP=0
AGG C14a PASS=20 FAIL=0 SKIP=0
AGG C14b PASS=4 FAIL=16 SKIP=0
AGG C14b PASS=4 FAIL=16 SKIP=0
AGG C14b PASS=4 FAIL=16 SKIP=0
AGG C14b PASS=7 FAIL=13 SKIP=0
AGG C14b PASS=7 FAIL=13 SKIP=0
AGG C14b PASS=15 FAIL=5 SKIP=0
AGG C14b PASS=15 FAIL=5 SKIP=0
AGG C14b PASS=15 FAIL=5 SKIP=0
AGG C14b PASS=15 FAIL=5 SKIP=0
AGG C14b PASS=16 FAIL=4 SKIP=0
AGG C14b PASS=16 FAIL=4 SKIP=0
AGG C14b PASS=16 FAIL=4 SKIP=0
AGG C14b PASS=16 FAIL=4 SKIP=0
AGG C14b PASS=19 FAIL=1 SKIP=0
AGG C14b PASS=19 FAIL=1 SKIP=0
AGG C14b PASS=20 FAIL=0 SKIP=0
AGG C14b PASS=20 FAIL=0 SKIP=0
AGG C14b PASS=20 FAIL=0 SKIP=0
AGG C15a PASS=19 FAIL=0 SKIP=0
AGG C15a PASS=19 FAIL=0 SKIP=0
AGG C15a PASS=19 FAIL=0 SKIP=0
AGG C1a PASS=24 FAIL=0 SKIP=0
